id,name,year,classification,runtime,genres,budget,opening_weekend,gross_na,gross_g,release_date,gross_tw,gross_cn,gross_hk,gross_my,gross_sg,gross_xndom
tt5323662,A Silent Voice (2016),(2016),NotRated,130min,"Animation,Drama,Romance",,"$121,732","$644,391","$30,490,447",Release Date: 24 March 2017 (Taiwan),0,"6,686,328",0,0,0,"29,846,056"
tt1711525,Office Christmas Party (2016),(2016),R,105min,Comedy,"$45,000,000","$16,890,204","$54,767,494","$114,501,299",Release Date: 23 December 2016 (Taiwan),"211,355",0,"355,712","147,077","219,636","59,733,805"
tt4255304,The Void (I) (2016),(I),NotRated,90min,"Horror,Mystery,Sci-Fi",,"$50,026","$151,042","$368,372",Release Date: 30 June 2017 (Taiwan),0,0,0,0,0,"217,330"
tt4882548,Burn Your Maps (2016),(2016),PG-13,102min,Adventure,"$8,000,000",,,,Filming Locations:,0,0,0,0,0,0
tt1619029,Jackie (V) (2016),(V),R,100min,"Biography,Drama,History","$9,000,000","$278,715","$13,960,394","$24,270,399",Release Date: 24 February 2017 (Taiwan),0,"326,752",0,0,0,"10,310,005"
tt3963816,Marauders (2016),(2016),R,107min,"Action,Crime,Mystery","$15,000,000",,,"$1,616,004",Release Date: 13 January 2017 (Taiwan),0,"603,269",0,0,0,"1,616,004"
tt3704700,Brain on Fire (2016),(2016),PG-13,88min,"Biography,Drama",,,,"$10,846",Release Date: 5 May 2017 (Taiwan),0,0,0,0,0,"10,846"
tt4385888,20th Century Women (2016),(2016),R,119min,"Comedy,Drama","$7,000,000","$111,200","$5,664,764","$7,214,806",Release Date: 20 January 2017 (USA),0,0,0,0,0,"1,550,042"
tt4190530,Anthropoid (2016),(2016),R,120min,"Biography,History,Thriller",,"$1,233,519","$2,964,845","$5,079,219",Release Date: 9 September 2016 (UK),0,0,0,0,0,"2,114,374"
tt2788732,Pete's Dragon (2016),(2016),PG,102min,"Action,Adventure,Comedy","$65,000,000","$21,514,095","$76,233,151","$143,695,338",Release Date: 12 August 2016 (USA),0,0,0,"1,287,611","542,786","67,462,187"
tt4361050,Ouija: Origin of Evil (2016),(2016),PG-13,99min,"Drama,Horror,Mystery","$9,000,000","$14,065,500","$35,144,505","$81,705,746",Release Date: 21 October 2016 (Taiwan),"613,541",0,0,"1,489,286","672,805","46,561,241"
tt1540011,Blair Witch (2016),(2016),R,89min,"Horror,Mystery,Thriller","$5,000,000","$9,576,057","$20,777,061","$45,173,154",Release Date: 16 September 2016 (Canada),"10,597",0,"62,351","299,664","124,632","24,396,093"
tt2513074,Billy Lynn's Long Halftime Walk (2016),(2016),R,113min,"Action,Drama,Thriller","$40,000,000","$114,129","$1,738,477","$30,930,984",Release Date: 11 November 2016 (Taiwan),"3,253,889","23,761,008","334,457","119,261","155,298","29,192,507"
tt4733640,The Limehouse Golem (2016),(2016),NotRated,109min,"Crime,Mystery,Thriller",,,,"$3,518,822",Release Date: 1 September 2017 (UK),0,0,0,0,0,"3,518,822"
tt4645330,Denial (II) (2016),(II),PG-13,109min,"Biography,Drama","$10,000,000","$93,728","$4,073,489","$7,994,527",Release Date: 21 October 2016 (USA),0,0,0,0,0,"3,921,038"
tt3622110,Don't Knock Twice (2016),(2016),R,93min,Horror,,,,"$2,081,591",Also Known As: No toques dos veces,0,0,0,0,0,"2,081,591"
tt3707104,Mine (II) (2016),(II),NotRated,106min,"Action,Thriller,War",,,,"$1,788,934",Release Date: 6 October 2016 (Italy),0,0,0,0,0,"1,788,934"
tt1661275,Their Finest (2016),(2016),R,117min,"Comedy,Drama,Romance","€10,000,000","$76,197","$3,603,484","$12,597,262",Release Date: 5 May 2017 (Taiwan),0,0,0,0,0,"8,993,778"
tt4981636,Middle School: The Worst Years of My Life (2016),(2016),PG,92min,"Comedy,Family","$8,500,000","$6,878,437","$20,007,149","$23,316,139",Release Date: 7 October 2016 (USA),0,0,"13,266",0,"59,299","3,308,990"
tt1610525,Chuck (2016),(2016),R,98min,"Biography,Drama,Sport",,"$34,565","$320,725","$502,518",Also Known As: Untitled Chuck Wepner Project,0,0,0,0,0,"181,793"
tt1712192,Message from the King (2016),(2016),R,102min,Thriller,"$10,000,000",,,"$315,132",Also Known As: King: Uma História de Vingança,0,0,0,0,0,"315,132"
tt4721124,The Exception (2016),(2016),R,107min,"Drama,Romance,War",,"$21,351","$708,973","$834,572",Release Date: 2 June 2017 (USA),0,0,0,0,0,"125,599"
tt1974420,Rules Don't Apply (2016),(2016),PG-13,127min,"Comedy,Drama,Romance","$25,000,000","$1,589,625","$3,652,206","$3,885,342",Release Date: 23 November 2016 (USA),0,0,0,0,0,"233,136"
